Unnamed: 0,WRIST,THUMB_CMC,THUMB_MCP,THUMB_IP,THUMB_TIP,INDEX_FINGER_MCP,INDEX_FINGER_PIP,INDEX_FINGER_DIP,INDEX_FINGER_TIP,MIDDLE_FINGER_MCP,MIDDLE_FINGER_PIP,MIDDLE_FINGER_DIP,MIDDLE_FINGER_TIP,RING_FINGER_MCP,RING_FINGER_PIP,RING_FINGER_DIP,RING_FINGER_TIP,PINKY_MCP,PINKY_PIP,PINKY_DIP,PINKY_TIP,LABEL
760,"(0.585004985332489, 0.87232905626297, -8.321862696902826e-05)","(0.5174359083175659, 0.7939620018005371, 0.036010682582855225)","(0.48892611265182495, 0.7026905417442322, 0.037708789110183716)","(0.48275142908096313, 0.6102354526519775, 0.04049611836671829)","(0.48610448837280273, 0.5479899644851685, 0.044007737189531326)","(0.4998561143875122, 0.656951904296875, -0.06307779252529144)","(0.4791618883609772, 0.5339329242706299, -0.02434092015028)","(0.4810991883277893, 0.5621148347854614, 0.02150743454694748)","(0.4924885928630829, 0.5994965434074402, 0.04587741941213608)","(0.540338397026062, 0.6412185430526733, -0.07309973984956741)","(0.5149624943733215, 0.5146205425262451, -0.02878500707447529)","(0.5120882391929626, 0.5471644401550293, 0.019322114065289497)","(0.5204894542694092, 0.5861915349960327, 0.03542415797710419)","(0.5773174166679382, 0.6384474635124207, -0.07007003575563431)","(0.5533835291862488, 0.5303033590316772, -0.019290270283818245)","(0.5473525524139404, 0.5666930675506592, 0.01872948557138443)","(0.553434431552887, 0.6085141897201538, 0.024108722805976868)","(0.6105610728263855, 0.6400942802429199, -0.062483567744493484)","(0.5855530500411987, 0.5578516125679016, -0.0160081684589386)","(0.575228214263916, 0.5859968066215515, 0.01710142008960247)","(0.578209638595581, 0.6219086647033691, 0.02726389467716217)",Reach
761,"(0.5623844265937805, 0.8848111033439636, -6.112709525041282e-05)","(0.4916567802429199, 0.8094961643218994, 0.036969199776649475)","(0.46555882692337036, 0.7205784320831299, 0.04147498682141304)","(0.4623584747314453, 0.6342529058456421, 0.04684591293334961)","(0.4646124243736267, 0.5755150318145752, 0.05031702294945717)","(0.4692149758338928, 0.6785110235214233, -0.05958222597837448)","(0.44715186953544617, 0.555438220500946, -0.014850963838398457)","(0.4494798183441162, 0.5771310329437256, 0.03856370225548744)","(0.46057912707328796, 0.6115029454231262, 0.06847567856311798)","(0.5095247030258179, 0.659414529800415, -0.06909748911857605)","(0.483335942029953, 0.5379167199134827, -0.019525719806551933)","(0.4799019694328308, 0.5687610507011414, 0.0335409939289093)","(0.48596933484077454, 0.6043863892555237, 0.053046196699142456)","(0.5467140078544617, 0.6530417203903198, -0.06486555188894272)","(0.5222412347793579, 0.5464550852775574, -0.013356213457882404)","(0.5155027508735657, 0.5817905068397522, 0.029339367523789406)","(0.5196506977081299, 0.6219310164451599, 0.040083348751068115)","(0.5797772407531738, 0.6514735817909241, -0.05642107129096985)","(0.5570286512374878, 0.569809079170227, -0.012151019647717476)","(0.5476176142692566, 0.5957663655281067, 0.02273794449865818)","(0.5502015948295593, 0.6273244023323059, 0.036550529301166534)",Reach
762,"(0.5377975106239319, 0.9007742404937744, -5.0102276873076335e-05)","(0.4664578139781952, 0.8348647952079773, 0.04257936030626297)","(0.4383484125137329, 0.7494838237762451, 0.052081380039453506)","(0.430533230304718, 0.6642711162567139, 0.060415808111429214)","(0.4228227138519287, 0.6027235388755798, 0.06782641261816025)","(0.43587130308151245, 0.7079019546508789, -0.039880383759737015)","(0.41044434905052185, 0.584712028503418, 0.0014810857828706503)","(0.41087883710861206, 0.6005777716636658, 0.05454292520880699)","(0.4209592640399933, 0.6316955089569092, 0.08803515881299973)","(0.473655104637146, 0.6801936030387878, -0.05043019354343414)","(0.4455646872520447, 0.5630922317504883, -0.0013225394068285823)","(0.4427044689655304, 0.5942481756210327, 0.05190543085336685)","(0.4485357999801636, 0.6273062825202942, 0.07333572208881378)","(0.5096409916877747, 0.6656950116157532, -0.04884568229317665)","(0.48328903317451477, 0.5625481009483337, -0.0012493656249716878)","(0.4777620732784271, 0.595782995223999, 0.04506947100162506)","(0.4825497269630432, 0.6319831013679504, 0.06332410126924515)","(0.5428606867790222, 0.6576765179634094, -0.04236802086234093)","(0.5218821167945862, 0.5695526599884033, -0.0051650116220116615)","(0.5127084255218506, 0.5910669565200806, 0.03230302035808563)","(0.5144411325454712, 0.6233969926834106, 0.05340343341231346)",Reach
763,"(0.516149640083313, 0.9091501235961914, -5.0498885684646666e-05)","(0.44370120763778687, 0.8491556644439697, 0.05011490732431412)","(0.4148958623409271, 0.7710184454917908, 0.06536855548620224)","(0.4074884355068207, 0.695622444152832, 0.07717576622962952)","(0.40343719720840454, 0.6464378237724304, 0.08938173949718475)","(0.40450140833854675, 0.7324047088623047, -0.02913033775985241)","(0.37289345264434814, 0.61326003074646, 0.011507801711559296)","(0.3765697479248047, 0.6241610050201416, 0.06306704133749008)","(0.38949739933013916, 0.6531317234039307, 0.09731484949588776)","(0.4407161772251129, 0.6970065236091614, -0.04146479070186615)","(0.407551109790802, 0.5858973264694214, 0.008543186821043491)","(0.40806877613067627, 0.6122188568115234, 0.06289288401603699)","(0.41501474380493164, 0.6413496732711792, 0.08783205598592758)","(0.47584599256515503, 0.6756332516670227, -0.041204605251550674)","(0.4439724087715149, 0.5818091034889221, 0.00807048100978136)","(0.4408147633075714, 0.6157606840133667, 0.0498097687959671)","(0.44637903571128845, 0.6527552008628845, 0.06477160006761551)","(0.5077522397041321, 0.6618826389312744, -0.03600528836250305)","(0.48124101758003235, 0.5875968337059021, 0.005692661739885807)","(0.47348061203956604, 0.614039421081543, 0.04110279306769371)","(0.4762393534183502, 0.6462978720664978, 0.06004054844379425)",Reach
764,"(0.48611390590667725, 0.915163516998291, -5.8312765759183094e-05)","(0.4121808409690857, 0.8582686185836792, 0.05523382127285004)","(0.38098734617233276, 0.7826225161552429, 0.07167256623506546)","(0.3720199167728424, 0.7089985013008118, 0.08556895703077316)","(0.3674319386482239, 0.6606945991516113, 0.10061339288949966)","(0.3704838454723358, 0.7447742223739624, -0.02608100138604641)","(0.3387904763221741, 0.6321402192115784, 0.019695011898875237)","(0.34454038739204407, 0.6495147943496704, 0.07137615233659744)","(0.35835012793540955, 0.6816886067390442, 0.10186313837766647)","(0.40457940101623535, 0.7085580229759216, -0.041459400206804276)","(0.3695940375328064, 0.6073307394981384, 0.012459534220397472)","(0.37098899483680725, 0.6354295015335083, 0.06484468281269073)","(0.37784796953201294, 0.6648408770561218, 0.08390729129314423)","(0.4394684135913849, 0.6854782700538635, -0.04380808398127556)","(0.4057404696941376, 0.5983446836471558, 0.008752194233238697)","(0.40393370389938354, 0.6317898035049438, 0.05072899907827377)","(0.4100610613822937, 0.667889416217804, 0.06490135937929153)","(0.4721909761428833, 0.6698582768440247, -0.04106347635388374)","(0.44229164719581604, 0.5974786281585693, 0.0023154912050813437)","(0.43650078773498535, 0.6256836652755737, 0.039732564240694046)","(0.44062870740890503, 0.6588991284370422, 0.05953621864318848)",Reach
765,"(0.4604463279247284, 0.9210789203643799, -6.257391214603558e-05)","(0.38752904534339905, 0.87958163022995, 0.058742456138134)","(0.35393258929252625, 0.8079897165298462, 0.08285660296678543)","(0.3434065580368042, 0.7423930168151855, 0.10396299511194229)","(0.3391541540622711, 0.7055057883262634, 0.12613889575004578)","(0.3368062674999237, 0.7529677152633667, -0.006155726499855518)","(0.3108837306499481, 0.6484967470169067, 0.042474739253520966)","(0.3208780288696289, 0.666390597820282, 0.09021179378032684)","(0.3356664478778839, 0.6972417235374451, 0.11853226274251938)","(0.3697538375854492, 0.7157337665557861, -0.01986512914299965)","(0.3419802784919739, 0.6208749413490295, 0.04053472727537155)","(0.34928324818611145, 0.6529306173324585, 0.09275588393211365)","(0.35728129744529724, 0.6817414164543152, 0.11174550652503967)","(0.4046465754508972, 0.6938840746879578, -0.021723536774516106)","(0.37712720036506653, 0.615241527557373, 0.03521110117435455)","(0.379311740398407, 0.6512564420700073, 0.07478807866573334)","(0.3851650655269623, 0.684775710105896, 0.08630324900150299)","(0.43786799907684326, 0.679561197757721, -0.019155751913785934)","(0.41188833117485046, 0.6199219226837158, 0.028152722865343094)","(0.4089020788669586, 0.6500633358955383, 0.06196357309818268)","(0.41251710057258606, 0.6796703934669495, 0.07792121917009354)",Reach
766,"(0.4387364387512207, 0.9185048341751099, -4.027919931104407e-05)","(0.36541542410850525, 0.8854094743728638, 0.05968286842107773)","(0.3289298713207245, 0.823275089263916, 0.08189672976732254)","(0.3160248100757599, 0.7600705623626709, 0.09971228986978531)","(0.3126786947250366, 0.7196710705757141, 0.11752080917358398)","(0.3060702085494995, 0.7697115540504456, -0.006799592170864344)","(0.28215497732162476, 0.6663501858711243, 0.04218016192317009)","(0.2947724759578705, 0.6852518916130066, 0.08757548034191132)","(0.30959537625312805, 0.7163975238800049, 0.11476367712020874)","(0.3373105823993683, 0.7303081750869751, -0.023198455572128296)","(0.311884343624115, 0.6386711597442627, 0.03893078863620758)","(0.32461583614349365, 0.6709798574447632, 0.08770453184843063)","(0.33478251099586487, 0.7000576257705688, 0.10256844013929367)","(0.37136736512184143, 0.7034849524497986, -0.026900270953774452)","(0.345344215631485, 0.6278985738754272, 0.031654395163059235)","(0.35304340720176697, 0.6633089184761047, 0.06938143074512482)","(0.3610244393348694, 0.6955609321594238, 0.07735022157430649)","(0.40494880080223083, 0.6837655305862427, -0.0267691258341074)","(0.3782573640346527, 0.627600908279419, 0.02209158055484295)","(0.3803313672542572, 0.6569379568099976, 0.05326126143336296)","(0.38751456141471863, 0.6825549006462097, 0.06552065163850784)",Reach
767,"(0.4201906621456146, 0.9127453565597534, -3.264131009927951e-05)","(0.3458499312400818, 0.8857977390289307, 0.0663159042596817)","(0.30738261342048645, 0.8323141932487488, 0.09293188154697418)","(0.2948091924190521, 0.7766964435577393, 0.11323733627796173)","(0.2930571436882019, 0.7405624389648438, 0.13143590092658997)","(0.28537076711654663, 0.7723283767700195, 0.0015868591144680977)","(0.2580794095993042, 0.680182158946991, 0.05333106964826584)","(0.27146756649017334, 0.7021831274032593, 0.10255177319049835)","(0.28656357526779175, 0.7375501394271851, 0.13176727294921875)","(0.31464797258377075, 0.7282575964927673, -0.015062759630382061)","(0.28732484579086304, 0.646526038646698, 0.05124157294631004)","(0.30160096287727356, 0.6766815185546875, 0.10178504884243011)","(0.3129384517669678, 0.7066044807434082, 0.1192290410399437)","(0.3478492200374603, 0.7002546787261963, -0.018926607444882393)","(0.32001763582229614, 0.6281606554985046, 0.04260027036070824)","(0.32854995131492615, 0.6582014560699463, 0.08497215807437897)","(0.3369632065296173, 0.688617467880249, 0.09675069153308868)","(0.38143351674079895, 0.6820935010910034, -0.01839117333292961)","(0.3540772497653961, 0.6310272216796875, 0.032559413462877274)","(0.35653069615364075, 0.6577334403991699, 0.06577150523662567)","(0.364362508058548, 0.6831061244010925, 0.07918502390384674)",Reach
768,"(0.4013907313346863, 0.897307813167572, -3.345960067235865e-05)","(0.3289996087551117, 0.8757493495941162, 0.06640440225601196)","(0.29333510994911194, 0.8259599804878235, 0.09418129920959473)","(0.2816593050956726, 0.7677393555641174, 0.11791613698005676)","(0.2810463607311249, 0.7262350916862488, 0.137369304895401)","(0.2705773711204529, 0.7530181407928467, 0.012385482899844646)","(0.24728652834892273, 0.6623936891555786, 0.06988824903964996)","(0.2600935697555542, 0.6815895438194275, 0.12035449594259262)","(0.27528637647628784, 0.7119088172912598, 0.1490875482559204)","(0.30033522844314575, 0.7126074433326721, -0.0013186759315431118)","(0.2745877802371979, 0.627741277217865, 0.06774503737688065)","(0.28567999601364136, 0.6564325094223022, 0.12116003781557083)","(0.2968534529209137, 0.6885654926300049, 0.14373956620693207)","(0.33374878764152527, 0.6883273720741272, -0.0018161108018830419)","(0.3089078366756439, 0.6167809963226318, 0.06184208020567894)","(0.31557780504226685, 0.6483806371688843, 0.10713052749633789)","(0.32176074385643005, 0.6788526177406311, 0.12324955314397812)","(0.36608797311782837, 0.6738631129264832, 0.003358295653015375)","(0.3436684310436249, 0.622175931930542, 0.05359393730759621)","(0.3441416919231415, 0.6486114263534546, 0.0863407775759697)","(0.3485097289085388, 0.6739301085472107, 0.10317395627498627)",Reach
769,"(0.3868826627731323, 0.868720293045044, -4.540893860394135e-05)","(0.3159513771533966, 0.836283802986145, 0.06537932902574539)","(0.28327614068984985, 0.7813057899475098, 0.09050067514181137)","(0.27474093437194824, 0.7221211791038513, 0.1118251234292984)","(0.2781953513622284, 0.6756366491317749, 0.12945713102817535)","(0.25710487365722656, 0.7189649343490601, 0.012678081169724464)","(0.23929738998413086, 0.6255201101303101, 0.06506416201591492)","(0.2550879120826721, 0.6415599584579468, 0.10926469415426254)","(0.271178662776947, 0.6733036637306213, 0.13245394825935364)","(0.2880754768848419, 0.6820405125617981, -0.0025150603614747524)","(0.26761770248413086, 0.5912328362464905, 0.061114225536584854)","(0.2811991572380066, 0.6150219440460205, 0.10719573497772217)","(0.2929733991622925, 0.6469228863716125, 0.12594397366046906)","(0.3222818970680237, 0.6575645208358765, -0.005802195984870195)","(0.3017506003379822, 0.5820139646530151, 0.054556116461753845)","(0.31015804409980774, 0.6109862327575684, 0.0918927863240242)","(0.3172402083873749, 0.64252108335495, 0.10311473160982132)","(0.35565584897994995, 0.6410444974899292, -0.0027420080732554197)","(0.3361228406429291, 0.5860278606414795, 0.046581897884607315)","(0.33742251992225647, 0.6133221387863159, 0.07466083019971848)","(0.34183603525161743, 0.6406159996986389, 0.08718571811914444)",Reach
