,WRIST,THUMB_CMC,THUMB_MCP,THUMB_IP,THUMB_TIP,INDEX_FINGER_MCP,INDEX_FINGER_PIP,INDEX_FINGER_DIP,INDEX_FINGER_TIP,MIDDLE_FINGER_MCP,MIDDLE_FINGER_PIP,MIDDLE_FINGER_DIP,MIDDLE_FINGER_TIP,RING_FINGER_MCP,RING_FINGER_PIP,RING_FINGER_DIP,RING_FINGER_TIP,PINKY_MCP,PINKY_PIP,PINKY_DIP,PINKY_TIP,LABEL
1360,"(0.3808950185775757, 0.722614049911499, -1.4821769582340494e-05)","(0.30073282122612, 0.6842427849769592, 0.061963845044374466)","(0.25884026288986206, 0.6250820159912109, 0.09379952400922775)","(0.2347291260957718, 0.5613924860954285, 0.11814428865909576)","(0.22085289657115936, 0.5128047466278076, 0.1464245617389679)","(0.23391923308372498, 0.5722773671150208, 0.03989448770880699)","(0.21487614512443542, 0.49951791763305664, 0.07939610630273819)","(0.21025122702121735, 0.47851380705833435, 0.12214817106723785)","(0.21071991324424744, 0.4678138792514801, 0.1506391316652298)","(0.25484490394592285, 0.5350379943847656, 0.019660381600260735)","(0.22866638004779816, 0.4584655165672302, 0.06591247767210007)","(0.2264435887336731, 0.44233644008636475, 0.10044264793395996)","(0.22664211690425873, 0.4377132058143616, 0.11860394477844238)","(0.28125670552253723, 0.5009725689888, 0.007450059521943331)","(0.2513850927352905, 0.41924718022346497, 0.039995837956666946)","(0.24958255887031555, 0.41185247898101807, 0.06996914744377136)","(0.253747820854187, 0.4189308285713196, 0.08636344224214554)","(0.3087604343891144, 0.47053903341293335, 0.0006817030371166766)","(0.28362539410591125, 0.39917296171188354, 0.02939358539879322)","(0.27731987833976746, 0.3951290249824524, 0.05706104636192322)","(0.27780017256736755, 0.40851762890815735, 0.08073699474334717)",Reach
1361,"(0.36133480072021484, 0.6976935863494873, -1.1956598427786957e-05)","(0.2843974232673645, 0.661182701587677, 0.061299074441194534)","(0.2430274486541748, 0.5991424918174744, 0.0953044667840004)","(0.21953225135803223, 0.5377969145774841, 0.12227433919906616)","(0.20517611503601074, 0.49079984426498413, 0.1527719497680664)","(0.2143738567829132, 0.5491270422935486, 0.041849929839372635)","(0.19865679740905762, 0.4766536056995392, 0.08165635913610458)","(0.19549858570098877, 0.4556761384010315, 0.11845195293426514)","(0.19850462675094604, 0.4479600191116333, 0.14290814101696014)","(0.23451903462409973, 0.5121572017669678, 0.022378116846084595)","(0.21190816164016724, 0.4393332600593567, 0.06914102286100388)","(0.21035218238830566, 0.42198681831359863, 0.09595083445310593)","(0.2114540934562683, 0.4183277487754822, 0.10690239816904068)","(0.25961726903915405, 0.47634822130203247, 0.011417333036661148)","(0.23244774341583252, 0.4007910490036011, 0.04176735877990723)","(0.23305962979793549, 0.39403998851776123, 0.06409705430269241)","(0.23982387781143188, 0.40068376064300537, 0.07310947775840759)","(0.2851001024246216, 0.44419413805007935, 0.005941334646195173)","(0.26091474294662476, 0.3751378655433655, 0.03577081486582756)","(0.256346732378006, 0.37077954411506653, 0.06021595746278763)","(0.2585260272026062, 0.38405779004096985, 0.07994353026151657)",Reach
1362,"(0.3444523215293884, 0.6710350513458252, 1.2842397154599894e-05)","(0.2718717157840729, 0.6383549571037292, 0.0556023083627224)","(0.2305140346288681, 0.576620876789093, 0.08503007143735886)","(0.20667284727096558, 0.514019250869751, 0.1100672036409378)","(0.19151842594146729, 0.46251291036605835, 0.13998258113861084)","(0.20258592069149017, 0.5343748927116394, 0.038457199931144714)","(0.18744924664497375, 0.4675441384315491, 0.06992604583501816)","(0.1832696497440338, 0.438469797372818, 0.09530916064977646)","(0.18179845809936523, 0.42100441455841064, 0.10972218215465546)","(0.2201838344335556, 0.4983428716659546, 0.019190115854144096)","(0.1973969042301178, 0.4270167350769043, 0.05433531850576401)","(0.19184324145317078, 0.400532066822052, 0.07765131443738937)","(0.1885462999343872, 0.386203408241272, 0.0917455181479454)","(0.2440580129623413, 0.4626635015010834, 0.00691146869212389)","(0.21672707796096802, 0.38416457176208496, 0.030725158751010895)","(0.21269890666007996, 0.36530718207359314, 0.05280475318431854)","(0.21334287524223328, 0.3582268953323364, 0.0655471608042717)","(0.270407497882843, 0.4322519302368164, -0.0005453293561004102)","(0.24739207327365875, 0.3595344126224518, 0.02536594122648239)","(0.24114009737968445, 0.3435283303260803, 0.049750927835702896)","(0.23946712911128998, 0.34457993507385254, 0.07216446101665497)",Reach
1363,"(0.32935595512390137, 0.6425860524177551, 7.3095320658467244e-06)","(0.26106491684913635, 0.6102060675621033, 0.057311005890369415)","(0.22106145322322845, 0.550685465335846, 0.08752449601888657)","(0.19972893595695496, 0.4887646436691284, 0.11070442944765091)","(0.18650323152542114, 0.4372596740722656, 0.13876990973949432)","(0.19515275955200195, 0.51312655210495, 0.04715609550476074)","(0.179122656583786, 0.45121121406555176, 0.07290522754192352)","(0.17380283772945404, 0.4202132821083069, 0.08890931308269501)","(0.1714572012424469, 0.39972707629203796, 0.09686269611120224)","(0.21214677393436432, 0.47964954376220703, 0.024762116372585297)","(0.18683964014053345, 0.41472679376602173, 0.052153851836919785)","(0.1780041605234146, 0.38261163234710693, 0.07028224319219589)","(0.17462287843227386, 0.36331579089164734, 0.08491111546754837)","(0.23538629710674286, 0.4454367458820343, 0.007979592308402061)","(0.20489619672298431, 0.3712705969810486, 0.025603724643588066)","(0.19907084107398987, 0.3469097912311554, 0.044927746057510376)","(0.19868981838226318, 0.3350282907485962, 0.05847639590501785)","(0.2622458338737488, 0.4178764224052429, -0.0031014056876301765)","(0.2358006238937378, 0.34760773181915283, 0.018110111355781555)","(0.22696222364902496, 0.3205728828907013, 0.042483363300561905)","(0.22324539721012115, 0.3106185793876648, 0.06600825488567352)",Reach
1364,"(0.3161187767982483, 0.617305338382721, -6.112131814006716e-06)","(0.25352320075035095, 0.5868053436279297, 0.04162096977233887)","(0.21590971946716309, 0.5364137291908264, 0.06081066280603409)","(0.19282333552837372, 0.4815215766429901, 0.07565981149673462)","(0.17625683546066284, 0.4321964383125305, 0.095245860517025)","(0.195358544588089, 0.49565213918685913, 0.020186427980661392)","(0.17568093538284302, 0.4410715699195862, 0.033123679459095)","(0.16595715284347534, 0.407279908657074, 0.04039188101887703)","(0.16023099422454834, 0.38047417998313904, 0.042754434049129486)","(0.21228839457035065, 0.4632932245731354, 0.0006031561642885208)","(0.18289360404014587, 0.401285320520401, 0.012466189451515675)","(0.16906346380710602, 0.36183059215545654, 0.021819517016410828)","(0.16177742183208466, 0.331248939037323, 0.03235134482383728)","(0.2342759519815445, 0.4325602650642395, -0.014064359478652477)","(0.20088936388492584, 0.3599066138267517, -0.006167960818856955)","(0.1915944665670395, 0.3285562992095947, 0.003187058726325631)","(0.1872870922088623, 0.3061943054199219, 0.010053297504782677)","(0.2603827118873596, 0.410471111536026, -0.023660549893975258)","(0.23517213761806488, 0.3435809016227722, -0.013962852768599987)","(0.22389686107635498, 0.31195956468582153, -0.0004232672799844295)","(0.21693508327007294, 0.2936563491821289, 0.014345061033964157)",Reach
1365,"(0.3032890558242798, 0.5933119654655457, -1.1835435543616768e-05)","(0.2399391233921051, 0.5597599744796753, 0.04691107198596001)","(0.20413915812969208, 0.5111924409866333, 0.07198574393987656)","(0.18465282022953033, 0.4561983048915863, 0.09118462353944778)","(0.17240920662879944, 0.41063037514686584, 0.11549751460552216)","(0.17894858121871948, 0.4685547649860382, 0.03845736011862755)","(0.16821575164794922, 0.4165041446685791, 0.06192278116941452)","(0.16565591096878052, 0.3934828042984009, 0.07628381997346878)","(0.16358143091201782, 0.3788380026817322, 0.0807790532708168)","(0.19609348475933075, 0.43680158257484436, 0.02009928785264492)","(0.17620426416397095, 0.381989449262619, 0.04783143848180771)","(0.16919158399105072, 0.35398489236831665, 0.06609516590833664)","(0.16536714136600494, 0.33675408363342285, 0.07935651391744614)","(0.21955260634422302, 0.4064628481864929, 0.007047508843243122)","(0.194169819355011, 0.3412588834762573, 0.025875745341181755)","(0.18901686370372772, 0.31946828961372375, 0.04281856492161751)","(0.18696704506874084, 0.3080192506313324, 0.05305799841880798)","(0.24719485640525818, 0.3831850290298462, -0.0015211644349619746)","(0.22435438632965088, 0.32052919268608093, 0.01623149774968624)","(0.21640010178089142, 0.295176237821579, 0.036769840866327286)","(0.21149520576000214, 0.2827993631362915, 0.05643260478973389)",Reach
1366,"(0.28984740376472473, 0.5701991319656372, -2.612997923279181e-05)","(0.22472956776618958, 0.536742091178894, 0.05377769097685814)","(0.18955962359905243, 0.4896080493927002, 0.08514145761728287)","(0.1677348017692566, 0.4411981701850891, 0.11076515913009644)","(0.15356150269508362, 0.40678030252456665, 0.1410451978445053)","(0.16796550154685974, 0.4427568316459656, 0.04484354704618454)","(0.1606970727443695, 0.3842262923717499, 0.07487103343009949)","(0.16215093433856964, 0.37241458892822266, 0.09644097089767456)","(0.16364628076553345, 0.36990654468536377, 0.10516753047704697)","(0.18670150637626648, 0.41506609320640564, 0.025637580081820488)","(0.16696897149085999, 0.3573412001132965, 0.05828320235013962)","(0.1650623381137848, 0.33912521600723267, 0.08138244599103928)","(0.16513586044311523, 0.3313674330711365, 0.09667665511369705)","(0.21150216460227966, 0.3877856135368347, 0.012626406736671925)","(0.18553435802459717, 0.3218539357185364, 0.03142714127898216)","(0.181601881980896, 0.30253565311431885, 0.05025872588157654)","(0.1809336245059967, 0.2948818802833557, 0.060134533792734146)","(0.23927801847457886, 0.36532676219940186, 0.004969308152794838)","(0.21565121412277222, 0.30349475145339966, 0.02134663052856922)","(0.20853713154792786, 0.27970781922340393, 0.04090900346636772)","(0.20432361960411072, 0.2674700617790222, 0.05894681066274643)",Grasp
1367,"(0.27519214153289795, 0.5519981384277344, -2.4629720428492874e-05)","(0.20710694789886475, 0.5192763805389404, 0.06399629265069962)","(0.17310680449008942, 0.4653758108615875, 0.0969272181391716)","(0.16030094027519226, 0.40776580572128296, 0.12406745553016663)","(0.16106335818767548, 0.3719260096549988, 0.1516294777393341)","(0.1442502737045288, 0.42537012696266174, 0.042696502059698105)","(0.1451025903224945, 0.35382309556007385, 0.08566980063915253)","(0.15369054675102234, 0.3556552231311798, 0.11395622044801712)","(0.16057462990283966, 0.37148964405059814, 0.12496622651815414)","(0.16407085955142975, 0.39330774545669556, 0.022691810503602028)","(0.1529969871044159, 0.3256542980670929, 0.07318571954965591)","(0.1612003594636917, 0.32523423433303833, 0.10614479333162308)","(0.16692978143692017, 0.33788803219795227, 0.11757020652294159)","(0.19124308228492737, 0.3631937503814697, 0.010111240670084953)","(0.1726965308189392, 0.28977423906326294, 0.04552535340189934)","(0.1771591454744339, 0.2879629135131836, 0.07307231426239014)","(0.18339696526527405, 0.30079370737075806, 0.08389510959386826)","(0.22052140533924103, 0.3369181752204895, 0.003502262756228447)","(0.20163939893245697, 0.2705370783805847, 0.03288176655769348)","(0.20150785148143768, 0.2682032287120819, 0.05958528444170952)","(0.2044765055179596, 0.28189438581466675, 0.07787815481424332)",Grasp
1368,"(0.265913724899292, 0.5229243040084839, -6.235397449927405e-05)","(0.20130382478237152, 0.5101659297943115, 0.0747331902384758)","(0.16913378238677979, 0.45998990535736084, 0.10883712768554688)","(0.15885984897613525, 0.4040397107601166, 0.1355164647102356)","(0.16102297604084015, 0.3663668632507324, 0.15996235609054565)","(0.1314227133989334, 0.4123925268650055, 0.062038153409957886)","(0.12778088450431824, 0.33045437932014465, 0.11648157238960266)","(0.1450207382440567, 0.33123859763145447, 0.15155263245105743)","(0.16051757335662842, 0.3499038815498352, 0.16548463702201843)","(0.14848673343658447, 0.36819925904273987, 0.03964271768927574)","(0.13720878958702087, 0.28749993443489075, 0.09963672608137131)","(0.15098503232002258, 0.28638511896133423, 0.1352386623620987)","(0.1621553748846054, 0.30248844623565674, 0.1471468061208725)","(0.17557741701602936, 0.3330138921737671, 0.024770352989435196)","(0.15993952751159668, 0.2566918134689331, 0.0765918642282486)","(0.17343096435070038, 0.2645539939403534, 0.10686159133911133)","(0.18570704758167267, 0.2860689163208008, 0.11637310683727264)","(0.20737625658512115, 0.3046095073223114, 0.015850603580474854)","(0.18950073421001434, 0.24612542986869812, 0.06123370677232742)","(0.1960659921169281, 0.25670409202575684, 0.08848070353269577)","(0.20481228828430176, 0.278583288192749, 0.10356783866882324)",Grasp
1369,"(0.2582170367240906, 0.5044835805892944, -8.61213993630372e-05)","(0.19983220100402832, 0.5019936561584473, 0.07875975221395493)","(0.16681551933288574, 0.4577476978302002, 0.11121004074811935)","(0.15594005584716797, 0.40370357036590576, 0.13500411808490753)","(0.1560278683900833, 0.36762362718582153, 0.15857307612895966)","(0.1283392310142517, 0.406303733587265, 0.053767528384923935)","(0.12188591063022614, 0.3139033913612366, 0.10644938796758652)","(0.14283521473407745, 0.3166712522506714, 0.13952291011810303)","(0.15707503259181976, 0.3417917788028717, 0.15274804830551147)","(0.1443142294883728, 0.35914430022239685, 0.026977233588695526)","(0.1313939094543457, 0.26593154668807983, 0.08245164155960083)","(0.15293291211128235, 0.2719336152076721, 0.11844898015260696)","(0.166622593998909, 0.29743674397468567, 0.13341942429542542)","(0.17121462523937225, 0.3238103985786438, 0.009953008033335209)","(0.15260328352451324, 0.23751871287822723, 0.05808613821864128)","(0.17291997373104095, 0.24839912354946136, 0.09044205397367477)","(0.18677788972854614, 0.2755813002586365, 0.10407226532697678)","(0.20528288185596466, 0.29587486386299133, -0.001687395153567195)","(0.18523547053337097, 0.2296759933233261, 0.04121730104088783)","(0.19526323676109314, 0.24500128626823425, 0.07044889032840729)","(0.20582515001296997, 0.2727971374988556, 0.08717847615480423)",Grasp
