Unnamed: 0,WRIST,THUMB_CMC,THUMB_MCP,THUMB_IP,THUMB_TIP,INDEX_FINGER_MCP,INDEX_FINGER_PIP,INDEX_FINGER_DIP,INDEX_FINGER_TIP,MIDDLE_FINGER_MCP,MIDDLE_FINGER_PIP,MIDDLE_FINGER_DIP,MIDDLE_FINGER_TIP,RING_FINGER_MCP,RING_FINGER_PIP,RING_FINGER_DIP,RING_FINGER_TIP,PINKY_MCP,PINKY_PIP,PINKY_DIP,PINKY_TIP,LABEL
801,"(0.1983388215303421, 0.06415250897407532, -2.6777543098432943e-05)","(0.16304779052734375, 0.03827214986085892, 0.036907147616147995)","(0.12893620133399963, 0.059725433588027954, 0.029701560735702515)","(0.1136406660079956, 0.11083932220935822, 0.023216182366013527)","(0.11155591905117035, 0.15478718280792236, 0.0158053208142519)","(0.10504375398159027, 0.0612904354929924, -0.05107397958636284)","(0.08097189664840698, 0.15315355360507965, -0.028734995052218437)","(0.1009351834654808, 0.16297903656959534, 0.004045918583869934)","(0.11208563297986984, 0.14439815282821655, 0.019966885447502136)","(0.11960344016551971, 0.09883803874254227, -0.07033263891935349)","(0.09518106281757355, 0.20056062936782837, -0.052128806710243225)","(0.12011976540088654, 0.2001999318599701, -0.013379172421991825)","(0.13374225795269012, 0.17506039142608643, 0.0022873645648360252)","(0.1434163600206375, 0.1371513456106186, -0.08044305443763733)","(0.12531012296676636, 0.23226219415664673, -0.05250127241015434)","(0.14682897925376892, 0.21856839954853058, -0.019406534731388092)","(0.15608254075050354, 0.1911461055278778, -0.01351869571954012)","(0.17059442400932312, 0.17503052949905396, -0.08747423440217972)","(0.1648758351802826, 0.2533414959907532, -0.061923470348119736)","(0.17980647087097168, 0.23057276010513306, -0.04024078696966171)","(0.185215562582016, 0.2001046985387802, -0.038060422986745834)",Grasp
802,"(0.2045980542898178, 0.06244070827960968, -1.7131416825577617e-05)","(0.1665153056383133, 0.04016716033220291, 0.023388901725411415)","(0.13277503848075867, 0.05953856557607651, 0.008565816096961498)","(0.11777012050151825, 0.11275704205036163, -0.002278653671965003)","(0.1185721829533577, 0.15318940579891205, -0.012861652299761772)","(0.11990021914243698, 0.058907680213451385, -0.0746508240699768)","(0.08906940370798111, 0.15119363367557526, -0.06493500620126724)","(0.10821114480495453, 0.15971475839614868, -0.03230459988117218)","(0.12116613239049911, 0.14019107818603516, -0.012354523874819279)","(0.13616415858268738, 0.09442716836929321, -0.08975730091333389)","(0.10303854942321777, 0.19665375351905823, -0.0833047404885292)","(0.12349075078964233, 0.19469819962978363, -0.04195320978760719)","(0.13522739708423615, 0.1718101054430008, -0.02240443415939808)","(0.16030511260032654, 0.13168136775493622, -0.09767858684062958)","(0.13012227416038513, 0.22632724046707153, -0.07931118458509445)","(0.1470850706100464, 0.21143803000450134, -0.04014008119702339)","(0.15471631288528442, 0.18374866247177124, -0.02738313563168049)","(0.18796515464782715, 0.1698254495859146, -0.10370014607906342)","(0.17225304245948792, 0.24778231978416443, -0.0895363986492157)","(0.18367159366607666, 0.22858619689941406, -0.0743020549416542)","(0.18769945204257965, 0.20071719586849213, -0.07372652739286423)",Grasp
803,"(0.20954322814941406, 0.05602695792913437, -2.4839753677952103e-05)","(0.17240223288536072, 0.036906950175762177, 0.012550147250294685)","(0.13865114748477936, 0.057379983365535736, -0.011650887317955494)","(0.12502478063106537, 0.10628696531057358, -0.03004213608801365)","(0.1295301914215088, 0.14349012076854706, -0.04826679453253746)","(0.12856310606002808, 0.06032662093639374, -0.0950089544057846)","(0.09548124670982361, 0.15060508251190186, -0.090159110724926)","(0.11369265615940094, 0.14778469502925873, -0.0525800846517086)","(0.125737726688385, 0.12293487787246704, -0.02600063569843769)","(0.14994017779827118, 0.09977098554372787, -0.10876452922821045)","(0.11570563912391663, 0.1986825168132782, -0.11206118762493134)","(0.1340068131685257, 0.1869390457868576, -0.06743775308132172)","(0.14549487829208374, 0.1639348268508911, -0.043565742671489716)","(0.17755626142024994, 0.1364043802022934, -0.11618625372648239)","(0.14630281925201416, 0.22936469316482544, -0.10620470345020294)","(0.16138558089733124, 0.20525163412094116, -0.0646301731467247)","(0.17059600353240967, 0.17709888517856598, -0.049092020839452744)","(0.20700427889823914, 0.16891475021839142, -0.12293349206447601)","(0.1879572570323944, 0.23748305439949036, -0.11626080423593521)","(0.1969059705734253, 0.21628615260124207, -0.10231523215770721)","(0.20348423719406128, 0.19542011618614197, -0.10221918672323227)",Grasp
804,"(0.22037050127983093, 0.05889897048473358, -5.683220661012456e-05)","(0.1781206727027893, 0.03861264884471893, -0.0074994126334786415)","(0.1438930332660675, 0.06165207177400589, -0.03727421909570694)","(0.12977132201194763, 0.11326760053634644, -0.056875091046094894)","(0.13742852210998535, 0.15750427544116974, -0.07137366384267807)","(0.15109221637248993, 0.06157536059617996, -0.12088450789451599)","(0.11042173206806183, 0.14872285723686218, -0.12044651061296463)","(0.12662877142429352, 0.14598548412322998, -0.07854245603084564)","(0.14119194447994232, 0.12584681808948517, -0.04763500392436981)","(0.17747282981872559, 0.0994701087474823, -0.12603898346424103)","(0.13562195003032684, 0.19606569409370422, -0.13874396681785583)","(0.14924295246601105, 0.18361647427082062, -0.09932281076908112)","(0.16120854020118713, 0.16064201295375824, -0.07704377174377441)","(0.2046736627817154, 0.13494718074798584, -0.12442313879728317)","(0.16984950006008148, 0.2243264764547348, -0.11823011934757233)","(0.1800146847963333, 0.1979781985282898, -0.07717078924179077)","(0.1882408708333969, 0.16871868073940277, -0.06283089518547058)","(0.23004156351089478, 0.16216900944709778, -0.1239229217171669)","(0.2083425223827362, 0.22854630649089813, -0.12058745324611664)","(0.21421799063682556, 0.21027860045433044, -0.1080903708934784)","(0.22128605842590332, 0.19168266654014587, -0.10899407416582108)",Move
805,"(0.2182408571243286, 0.07704664021730423, -5.3004139772383496e-05)","(0.18021129071712494, 0.061607494950294495, -0.0331125445663929)","(0.15371446311473846, 0.07983017712831497, -0.07591066509485245)","(0.14933836460113525, 0.12396257370710373, -0.10331238806247711)","(0.16534189879894257, 0.15994460880756378, -0.12174765020608902)","(0.17720288038253784, 0.0758507177233696, -0.14315178990364075)","(0.14219309389591217, 0.16071368753910065, -0.1567540019750595)","(0.153020441532135, 0.14985741674900055, -0.12512215971946716)","(0.16684968769550323, 0.12675397098064423, -0.09875495731830597)","(0.20462220907211304, 0.10768656432628632, -0.1383979320526123)","(0.1660439670085907, 0.2023760974407196, -0.1621437966823578)","(0.17135563492774963, 0.18847577273845673, -0.1324676275253296)","(0.18263229727745056, 0.16103696823120117, -0.11779320985078812)","(0.22781965136528015, 0.13887575268745422, -0.12661738693714142)","(0.19391116499900818, 0.22112314403057098, -0.13189879059791565)","(0.19582927227020264, 0.19715476036071777, -0.0923854187130928)","(0.20343030989170074, 0.1661091148853302, -0.07876192778348923)","(0.24343407154083252, 0.1606460064649582, -0.11845620721578598)","(0.22166015207767487, 0.21561399102210999, -0.11841775476932526)","(0.2231243997812271, 0.1999492049217224, -0.10350300371646881)","(0.23172840476036072, 0.17706215381622314, -0.10378919541835785)",Move
806,"(0.22690442204475403, 0.08561506122350693, 2.3213933673105203e-05)","(0.21155402064323425, 0.06425269693136215, 0.026826582849025726)","(0.20207278430461884, 0.07701744884252548, 0.03964574635028839)","(0.20122788846492767, 0.09457643330097198, 0.043650031089782715)","(0.20578278601169586, 0.11065654456615448, 0.03636619821190834)","(0.19378983974456787, 0.15158915519714355, 0.058730095624923706)","(0.2095499485731125, 0.14814089238643646, 0.06556593626737595)","(0.22304502129554749, 0.1324479728937149, 0.04457330331206322)","(0.23801381886005402, 0.11391350626945496, 0.03251008316874504)","(0.19035102427005768, 0.18197451531887054, 0.0467662513256073)","(0.20360922813415527, 0.1701408475637436, 0.057133279740810394)","(0.22185638546943665, 0.14587117731571198, 0.032491784542798996)","(0.23958659172058105, 0.13212096691131592, 0.016981765627861023)","(0.19050292670726776, 0.2007600963115692, 0.03732756897807121)","(0.2022494375705719, 0.17582374811172485, 0.044701967388391495)","(0.22171160578727722, 0.14941047132015228, 0.022452063858509064)","(0.2368415892124176, 0.1315688192844391, 0.009453272446990013)","(0.18987716734409332, 0.21303999423980713, 0.03026849590241909)","(0.19522900879383087, 0.19517606496810913, 0.04187924414873123)","(0.20754532516002655, 0.1708076298236847, 0.04349692538380623)","(0.2180669903755188, 0.15281683206558228, 0.04561379551887512)",Move
807,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",Negative
808,"(0.435666561126709, 0.03072454035282135, -7.726962940068915e-05)","(0.36192306876182556, 0.0220194011926651, 0.008141673170030117)","(0.309133380651474, 0.05794941633939743, -0.00510186143219471)","(0.27710357308387756, 0.1205533891916275, -0.008305171504616737)","(0.27316802740097046, 0.18056663870811462, -0.009376097470521927)","(0.3291778564453125, 0.1245160922408104, -0.09633968025445938)","(0.2793590724468231, 0.23527741432189941, -0.07558441162109375)","(0.2649480104446411, 0.21790693700313568, -0.021562790498137474)","(0.26919519901275635, 0.18781651556491852, 0.01873701624572277)","(0.36363527178764343, 0.1650850921869278, -0.0905575305223465)","(0.3072024881839752, 0.2758941054344177, -0.06857270747423172)","(0.2904204726219177, 0.24554196000099182, -0.009578187018632889)","(0.2946593165397644, 0.210992231965065, 0.030042031779885292)","(0.39211300015449524, 0.1941457837820053, -0.07698528468608856)","(0.33677709102630615, 0.27928224205970764, -0.04838181659579277)","(0.32050883769989014, 0.24560019373893738, 0.0030406692530959845)","(0.32648366689682007, 0.21242260932922363, 0.030100027099251747)","(0.41390541195869446, 0.21127593517303467, -0.059784382581710815)","(0.36686018109321594, 0.270589679479599, -0.029031578451395035)","(0.34905555844306946, 0.24658319354057312, 0.003844310762360692)","(0.35034507513046265, 0.21988630294799805, 0.028095917776226997)",Move
809,"(0.46460574865341187, 0.043480657041072845, -0.00011793465819209814)","(0.39913854002952576, 0.03219771385192871, -0.011852988041937351)","(0.3469065725803375, 0.06335615366697311, -0.02038322202861309)","(0.3220909535884857, 0.12913352251052856, -0.0156889446079731)","(0.31993603706359863, 0.18849952518939972, -0.0005519911064766347)","(0.3776405155658722, 0.1538509726524353, -0.0919913575053215)","(0.33943429589271545, 0.2652863562107086, -0.07864824682474136)","(0.3202267587184906, 0.2463926076889038, -0.038648009300231934)","(0.3212805986404419, 0.20946718752384186, -0.01086464524269104)","(0.4137209355831146, 0.1842236965894699, -0.07920979708433151)","(0.36959266662597656, 0.30285513401031494, -0.06237931549549103)","(0.3463417887687683, 0.28404271602630615, -0.01899242401123047)","(0.3475281596183777, 0.25024348497390747, 0.0072006843984127045)","(0.4432954490184784, 0.2032933384180069, -0.06100112572312355)","(0.3944479525089264, 0.3051665425300598, -0.04196164757013321)","(0.375229150056839, 0.28732016682624817, -0.004850716330111027)","(0.37691017985343933, 0.25938159227371216, 0.011826451867818832)","(0.46463435888290405, 0.21208623051643372, -0.04348120465874672)","(0.4248814582824707, 0.2772848904132843, -0.024509720504283905)","(0.40745413303375244, 0.2718193233013153, -0.0019932773429900408)","(0.40613800287246704, 0.25835758447647095, 0.01207315269857645)",Move
810,"(0.49045825004577637, 0.04810573160648346, -7.063821249175817e-05)","(0.434423565864563, 0.05502436310052872, -0.04016565531492233)","(0.3982526957988739, 0.11030107736587524, -0.052547141909599304)","(0.3821256756782532, 0.17189058661460876, -0.048539988696575165)","(0.3760228753089905, 0.23269860446453094, -0.039098355919122696)","(0.42838796973228455, 0.18194997310638428, -0.08665236085653305)","(0.4104958176612854, 0.2914966344833374, -0.08929168432950974)","(0.3809431195259094, 0.30063876509666443, -0.0701814740896225)","(0.3671562075614929, 0.28719714283943176, -0.05505819991230965)","(0.4493921995162964, 0.20388507843017578, -0.05994198098778725)","(0.42757266759872437, 0.31933608651161194, -0.054705824702978134)","(0.3958751857280731, 0.3247964084148407, -0.03501686453819275)","(0.3854590952396393, 0.3067508935928345, -0.026157017797231674)","(0.4649551510810852, 0.21662332117557526, -0.031440723687410355)","(0.43986159563064575, 0.32016491889953613, -0.028513703495264053)","(0.4123876690864563, 0.3204849362373352, -0.017050128430128098)","(0.4034847021102905, 0.30244770646095276, -0.00817396305501461)","(0.4745319187641144, 0.2206467092037201, -0.004177519120275974)","(0.45704397559165955, 0.2946384847164154, 0.00023674739350099117)","(0.436807781457901, 0.30694377422332764, 0.008453337475657463)","(0.42735251784324646, 0.29810526967048645, 0.015477584674954414)",Move
