Unnamed: 0,WRIST,THUMB_CMC,THUMB_MCP,THUMB_IP,THUMB_TIP,INDEX_FINGER_MCP,INDEX_FINGER_PIP,INDEX_FINGER_DIP,INDEX_FINGER_TIP,MIDDLE_FINGER_MCP,MIDDLE_FINGER_PIP,MIDDLE_FINGER_DIP,MIDDLE_FINGER_TIP,RING_FINGER_MCP,RING_FINGER_PIP,RING_FINGER_DIP,RING_FINGER_TIP,PINKY_MCP,PINKY_PIP,PINKY_DIP,PINKY_TIP,LABEL
2499,"(0.44539642333984375, 0.41777780652046204, 3.6429045735530963e-07)","(0.5171706080436707, 0.3921470046043396, -0.028470175340771675)","(0.5695420503616333, 0.33188146352767944, -0.02763352356851101)","(0.6094489693641663, 0.2970680892467499, -0.018380483612418175)","(0.6391769051551819, 0.29225414991378784, -0.006623025517910719)","(0.5214049816131592, 0.1659916192293167, 0.003160269232466817)","(0.5888879299163818, 0.17218239605426788, 0.016182372346520424)","(0.6218966245651245, 0.219176784157753, 0.018328461796045303)","(0.63929283618927, 0.2574615180492401, 0.018718848004937172)","(0.49359825253486633, 0.16746893525123596, 0.026280902326107025)","(0.5664154887199402, 0.20202305912971497, 0.04172128811478615)","(0.6021223068237305, 0.2536773681640625, 0.03784974664449692)","(0.6225628852844238, 0.3039211928844452, 0.03255239501595497)","(0.4762289822101593, 0.19879832863807678, 0.04778246581554413)","(0.5422922372817993, 0.2309153527021408, 0.05928700417280197)","(0.5790395140647888, 0.2652282118797302, 0.047150544822216034)","(0.6030980944633484, 0.3128613829612732, 0.03726860135793686)","(0.46933257579803467, 0.23858501017093658, 0.06732630729675293)","(0.5188267827033997, 0.25560030341148376, 0.07063603401184082)","(0.5481083989143372, 0.2779134213924408, 0.06148780137300491)","(0.5696553587913513, 0.3124954104423523, 0.055885784327983856)",Move
2500,"(0.4385637044906616, 0.4223933219909668, 3.780822339649603e-07)","(0.509655237197876, 0.3965860605239868, -0.030839119106531143)","(0.5627812147140503, 0.3376152813434601, -0.031058011576533318)","(0.60445636510849, 0.30356037616729736, -0.022355005145072937)","(0.63885498046875, 0.2966436445713043, -0.01096159778535366)","(0.516598105430603, 0.17319883406162262, -0.0006382034625858068)","(0.5852764248847961, 0.18032792210578918, 0.011535248719155788)","(0.6187600493431091, 0.2267930805683136, 0.014009044505655766)","(0.6374682188034058, 0.2655978798866272, 0.01477451715618372)","(0.488916277885437, 0.1730172038078308, 0.023517880588769913)","(0.5624106526374817, 0.20891925692558289, 0.037619318813085556)","(0.5978495478630066, 0.2619538903236389, 0.03399917110800743)","(0.6183454990386963, 0.31307804584503174, 0.029108481481671333)","(0.47149714827537537, 0.20347678661346436, 0.04592829942703247)","(0.537653923034668, 0.23713304102420807, 0.05608578398823738)","(0.5741370320320129, 0.27212807536125183, 0.043941430747509)","(0.5980029702186584, 0.3201339840888977, 0.0342385396361351)","(0.46438711881637573, 0.2427973449230194, 0.06622035801410675)","(0.5139589905738831, 0.2612455189228058, 0.06805761903524399)","(0.5432856678962708, 0.2847028374671936, 0.05841914936900139)","(0.5647450089454651, 0.3201342523097992, 0.05271432176232338)",Move
2501,"(0.4311639070510864, 0.4233604371547699, 3.698165187415725e-07)","(0.5024592876434326, 0.39970600605010986, -0.031832799315452576)","(0.5565146207809448, 0.34198135137557983, -0.03334949538111687)","(0.5988892316818237, 0.3090273141860962, -0.025874247774481773)","(0.6347072720527649, 0.30238720774650574, -0.015640564262866974)","(0.5118972659111023, 0.17877733707427979, -0.005135584156960249)","(0.582072913646698, 0.18664024770259857, 0.003242647973820567)","(0.6160197257995605, 0.23545843362808228, 0.003726150607690215)","(0.6350086331367493, 0.2761252820491791, 0.0037458089645951986)","(0.48541152477264404, 0.17613179981708527, 0.01880895346403122)","(0.5595932602882385, 0.21214693784713745, 0.030049586668610573)","(0.5950558185577393, 0.2666591703891754, 0.026576988399028778)","(0.6153415441513062, 0.31709709763526917, 0.022274402901530266)","(0.4683436155319214, 0.2049119770526886, 0.04081127792596817)","(0.534893810749054, 0.2400459349155426, 0.04835665971040726)","(0.5710838437080383, 0.275980144739151, 0.03676069900393486)","(0.5938424468040466, 0.3239279091358185, 0.028048565611243248)","(0.46100354194641113, 0.24319812655448914, 0.060636404901742935)","(0.5106543302536011, 0.26356470584869385, 0.06044994294643402)","(0.5397036075592041, 0.288115918636322, 0.05077548325061798)","(0.5601915121078491, 0.32425442337989807, 0.045512761920690536)",Move
2502,"(0.4245794415473938, 0.4302279055118561, 3.857067554235982e-07)","(0.4961257576942444, 0.4038686454296112, -0.031288549304008484)","(0.5500732660293579, 0.3441099524497986, -0.03174389898777008)","(0.5918963551521301, 0.3142392635345459, -0.023114504292607307)","(0.6280025839805603, 0.3121035099029541, -0.011688025668263435)","(0.5061637759208679, 0.18110162019729614, -0.004427100531756878)","(0.5763319730758667, 0.19111260771751404, 0.004991103429347277)","(0.610565721988678, 0.2402791678905487, 0.00627346895635128)","(0.6298059225082397, 0.2823580503463745, 0.006717636249959469)","(0.48019158840179443, 0.18069246411323547, 0.019525228068232536)","(0.5541089773178101, 0.21925777196884155, 0.03132093325257301)","(0.5906776189804077, 0.27291327714920044, 0.02773091569542885)","(0.6121837496757507, 0.3241065740585327, 0.02329879067838192)","(0.4636456370353699, 0.21133571863174438, 0.0416136309504509)","(0.5310240983963013, 0.249078169465065, 0.04941318556666374)","(0.5680210590362549, 0.2842409014701843, 0.03688774257898331)","(0.5916253924369812, 0.3320494294166565, 0.027527906000614166)","(0.4565657377243042, 0.2505413889884949, 0.061592843383550644)","(0.5071297883987427, 0.2726908326148987, 0.06116320937871933)","(0.5364206433296204, 0.29680758714675903, 0.050639133900403976)","(0.5574234127998352, 0.3327810764312744, 0.044832512736320496)",Move
2503,"(0.41956570744514465, 0.43395036458969116, 3.6998079622208024e-07)","(0.4911065399646759, 0.4080145061016083, -0.03272789344191551)","(0.5451622009277344, 0.3479582369327545, -0.03473368287086487)","(0.5863062143325806, 0.3183937072753906, -0.02774273045361042)","(0.6215335130691528, 0.3189411461353302, -0.01800493523478508)","(0.5008944869041443, 0.18629685044288635, -0.009052158333361149)","(0.5712498426437378, 0.1967059075832367, -0.0036909976042807102)","(0.6058052182197571, 0.24626369774341583, -0.004515646491199732)","(0.6258061528205872, 0.28946587443351746, -0.005180038046091795)","(0.47578001022338867, 0.1874789148569107, 0.014373094774782658)","(0.5499375462532043, 0.22512102127075195, 0.021980704739689827)","(0.5867940187454224, 0.2799866795539856, 0.01744515262544155)","(0.608485221862793, 0.3311360478401184, 0.01272966992110014)","(0.46008408069610596, 0.21917688846588135, 0.035713937133550644)","(0.5279133915901184, 0.25751596689224243, 0.039266180247068405)","(0.5656658411026001, 0.2938728928565979, 0.026102814823389053)","(0.5893312692642212, 0.3428552746772766, 0.016937116160988808)","(0.45322003960609436, 0.25980037450790405, 0.05495215207338333)","(0.5044673085212708, 0.2826155424118042, 0.05149440839886665)","(0.5344141721725464, 0.3071133494377136, 0.04017281159758568)","(0.5554842948913574, 0.34432506561279297, 0.03405679017305374)",Move
2504,"(0.415521502494812, 0.4400281310081482, 3.9606644008927105e-07)","(0.48703712224960327, 0.4115200936794281, -0.0332379974424839)","(0.540937066078186, 0.35183876752853394, -0.034935034811496735)","(0.582951545715332, 0.3232036530971527, -0.027269721031188965)","(0.618392825126648, 0.32164210081100464, -0.01680848002433777)","(0.496532142162323, 0.18936458230018616, -0.007944422774016857)","(0.5671870112419128, 0.20347964763641357, -0.0017096716910600662)","(0.6027255058288574, 0.25282758474349976, -0.0026530097238719463)","(0.6237443089485168, 0.29616492986679077, -0.003585553029552102)","(0.47186869382858276, 0.1923966109752655, 0.01628630980849266)","(0.5466446280479431, 0.23175007104873657, 0.02452598325908184)","(0.5840132236480713, 0.2869449853897095, 0.018927814438939095)","(0.6059499979019165, 0.3385535180568695, 0.013201819732785225)","(0.45642924308776855, 0.22532472014427185, 0.038462866097688675)","(0.5249083042144775, 0.26423749327659607, 0.04259677231311798)","(0.5631343722343445, 0.30027368664741516, 0.02812955342233181)","(0.5867868065834045, 0.3498718738555908, 0.01785760000348091)","(0.44976985454559326, 0.2665393650531769, 0.05857496336102486)","(0.5014830231666565, 0.2897476553916931, 0.055430978536605835)","(0.5315371155738831, 0.31410515308380127, 0.04331106320023537)","(0.5529316663742065, 0.3515443801879883, 0.03646893799304962)",Move
2505,"(0.4100610017776489, 0.4450784921646118, 4.155012618412002e-07)","(0.48103615641593933, 0.4180508553981781, -0.03279799222946167)","(0.5352721214294434, 0.35747310519218445, -0.032721370458602905)","(0.5779907703399658, 0.32894790172576904, -0.02304229885339737)","(0.6148860454559326, 0.32578882575035095, -0.010597089305520058)","(0.49331942200660706, 0.1933227777481079, -0.002548124408349395)","(0.5629358887672424, 0.20729169249534607, 0.007967445999383926)","(0.5981854796409607, 0.254624605178833, 0.008962036110460758)","(0.6184023022651672, 0.2958255708217621, 0.008795464411377907)","(0.4690124988555908, 0.1969006359577179, 0.0226735882461071)","(0.5424043536186218, 0.23322360217571259, 0.0350465290248394)","(0.5798118114471436, 0.2854377031326294, 0.029904255643486977)","(0.6020743250846863, 0.33581024408340454, 0.023865321651101112)","(0.45332959294319153, 0.2297440469264984, 0.04581034556031227)","(0.52081698179245, 0.2666686773300171, 0.053398095071315765)","(0.5587567687034607, 0.30283716320991516, 0.03829753026366234)","(0.582936704158783, 0.3508547842502594, 0.026843329891562462)","(0.4466002285480499, 0.2703334093093872, 0.06691590696573257)","(0.4973915219306946, 0.29207563400268555, 0.06611106544733047)","(0.5265009999275208, 0.31694528460502625, 0.053817268460989)","(0.5478469729423523, 0.3533796966075897, 0.046285904943943024)",Move
2506,"(0.40606623888015747, 0.4514431357383728, 4.242426143719058e-07)","(0.47749173641204834, 0.4232803285121918, -0.033291663974523544)","(0.5319151282310486, 0.360239177942276, -0.032397784292697906)","(0.5746786594390869, 0.3297300338745117, -0.021612949669361115)","(0.6116307377815247, 0.3269219696521759, -0.007879202254116535)","(0.4895136058330536, 0.19734270870685577, -0.0016300916904583573)","(0.5597796440124512, 0.21135948598384857, 0.009522850625216961)","(0.5953704714775085, 0.2591172456741333, 0.01103209052234888)","(0.6157490611076355, 0.3015563189983368, 0.011324254795908928)","(0.4649050235748291, 0.20166628062725067, 0.02455867826938629)","(0.5390685796737671, 0.24074327945709229, 0.037497684359550476)","(0.5769748687744141, 0.29369330406188965, 0.032329633831977844)","(0.5996750593185425, 0.34508460760116577, 0.026227381080389023)","(0.4489762783050537, 0.2351616472005844, 0.048588111996650696)","(0.5172297954559326, 0.27270087599754333, 0.056726522743701935)","(0.5556207299232483, 0.30835407972335815, 0.04105725511908531)","(0.5800896286964417, 0.35748136043548584, 0.029142597690224648)","(0.4417990446090698, 0.27567553520202637, 0.07054151594638824)","(0.49296799302101135, 0.2987138032913208, 0.06997085362672806)","(0.5221667885780334, 0.32338330149650574, 0.057063110172748566)","(0.543764591217041, 0.36051711440086365, 0.04909089580178261)",Move
2507,"(0.4014045000076294, 0.4543836712837219, 3.995517090515932e-07)","(0.47238489985466003, 0.427807092666626, -0.03377782925963402)","(0.5278487205505371, 0.36570313572883606, -0.03406248986721039)","(0.5709143877029419, 0.33462443947792053, -0.024435529485344887)","(0.6065661907196045, 0.3310306966304779, -0.011991595849394798)","(0.48611384630203247, 0.20261281728744507, -0.0056489636190235615)","(0.5561580061912537, 0.2168866991996765, 0.003275633091107011)","(0.5921421051025391, 0.26529213786125183, 0.0036900504492223263)","(0.6128545999526978, 0.30890363454818726, 0.0035128381568938494)","(0.4621622562408447, 0.2061639428138733, 0.020170802250504494)","(0.5364075303077698, 0.24583369493484497, 0.030832335352897644)","(0.5737788677215576, 0.3025992214679718, 0.02530895359814167)","(0.5951791405677795, 0.35678109526634216, 0.019475791603326797)","(0.44684964418411255, 0.23891142010688782, 0.04399990290403366)","(0.5150118470191956, 0.2775443196296692, 0.050528138875961304)","(0.5527488589286804, 0.3156520128250122, 0.035251643508672714)","(0.5758551955223083, 0.3666725158691406, 0.02400188334286213)","(0.43979403376579285, 0.27913162112236023, 0.06573856621980667)","(0.4911632239818573, 0.3035743832588196, 0.06430202722549438)","(0.5205181241035461, 0.3292379081249237, 0.05160025134682655)","(0.5414770841598511, 0.3673795461654663, 0.04404623806476593)",Move
2508,"(0.3982200026512146, 0.4610763192176819, 4.185005764156813e-07)","(0.4694637358188629, 0.43179991841316223, -0.033967822790145874)","(0.5245458483695984, 0.370367169380188, -0.03282282128930092)","(0.5679941177368164, 0.340192973613739, -0.02129010297358036)","(0.6048215627670288, 0.3316461741924286, -0.006629115901887417)","(0.4824164807796478, 0.20848345756530762, -0.00412712013348937)","(0.5524933338165283, 0.22179922461509705, 0.007197962142527103)","(0.58878093957901, 0.2672891616821289, 0.009066295810043812)","(0.6104690432548523, 0.30850696563720703, 0.009751293808221817)","(0.4583132266998291, 0.212598979473114, 0.02323354221880436)","(0.5330756902694702, 0.2535611391067505, 0.03529956191778183)","(0.5704691410064697, 0.3101809024810791, 0.02943413145840168)","(0.591768741607666, 0.3653470575809479, 0.02319866418838501)","(0.4428695738315582, 0.2455558180809021, 0.0487796850502491)","(0.5120753645896912, 0.2845373749732971, 0.05631246417760849)","(0.549650251865387, 0.32375797629356384, 0.03968634828925133)","(0.57248854637146, 0.3767226040363312, 0.02740134298801422)","(0.4354684054851532, 0.28392454981803894, 0.07237333059310913)","(0.4878241717815399, 0.3098508417606354, 0.07148038595914841)","(0.5176048278808594, 0.3361395001411438, 0.05770004168152809)","(0.5394121408462524, 0.37536779046058655, 0.04930312931537628)",Move
