Unnamed: 0,WRIST,THUMB_CMC,THUMB_MCP,THUMB_IP,THUMB_TIP,INDEX_FINGER_MCP,INDEX_FINGER_PIP,INDEX_FINGER_DIP,INDEX_FINGER_TIP,MIDDLE_FINGER_MCP,MIDDLE_FINGER_PIP,MIDDLE_FINGER_DIP,MIDDLE_FINGER_TIP,RING_FINGER_MCP,RING_FINGER_PIP,RING_FINGER_DIP,RING_FINGER_TIP,PINKY_MCP,PINKY_PIP,PINKY_DIP,PINKY_TIP,LABEL
2499,"(0.5511647462844849, 0.40390682220458984, -3.9726569411868695e-07)","(0.4787137508392334, 0.38450783491134644, -0.02755652740597725)","(0.42589229345321655, 0.32660040259361267, -0.023424267768859863)","(0.3835224211215973, 0.2969341278076172, -0.009174437262117863)","(0.356538861989975, 0.2848045229911804, 0.008401477709412575)","(0.47746506333351135, 0.16341926157474518, -0.002849581418558955)","(0.4143054187297821, 0.16170953214168549, 0.025957178324460983)","(0.38390445709228516, 0.21220716834068298, 0.04372963309288025)","(0.3676455020904541, 0.2532975971698761, 0.054393455386161804)","(0.5040038228034973, 0.16364192962646484, 0.025802137330174446)","(0.43731415271759033, 0.17957666516304016, 0.05592794343829155)","(0.4039583206176758, 0.22889232635498047, 0.061394598335027695)","(0.3857879936695099, 0.27808207273483276, 0.06051738187670708)","(0.5177200436592102, 0.18794392049312592, 0.055070407688617706)","(0.4530147910118103, 0.21446704864501953, 0.0787530392408371)","(0.42332902550697327, 0.2522956132888794, 0.07212062180042267)","(0.40721532702445984, 0.29470327496528625, 0.0632699504494667)","(0.5241676568984985, 0.21377846598625183, 0.08323605358600616)","(0.4741628170013428, 0.22959765791893005, 0.09530550986528397)","(0.44840675592422485, 0.25901302695274353, 0.09222856163978577)","(0.4308251142501831, 0.2948155999183655, 0.08923522382974625)",Move
2500,"(0.560113787651062, 0.41043537855148315, -3.9956566411092354e-07)","(0.4870903193950653, 0.3926730155944824, -0.02947564423084259)","(0.43348756432533264, 0.333158940076828, -0.024715878069400787)","(0.38954243063926697, 0.3041432201862335, -0.00918220542371273)","(0.35916590690612793, 0.29694297909736633, 0.009885584935545921)","(0.48271748423576355, 0.1675376296043396, -0.0020034615881741047)","(0.4171825051307678, 0.1708284616470337, 0.027138154953718185)","(0.3861733078956604, 0.22402486205101013, 0.04497324675321579)","(0.36897942423820496, 0.2667107582092285, 0.05598326027393341)","(0.5088013410568237, 0.16875311732292175, 0.02865101955831051)","(0.4400780200958252, 0.1879408061504364, 0.0592636838555336)","(0.40598946809768677, 0.2399335354566574, 0.06511817872524261)","(0.38602977991104126, 0.29145875573158264, 0.06496204435825348)","(0.5220313668251038, 0.194186270236969, 0.05962664261460304)","(0.4552633762359619, 0.22517839074134827, 0.0835074707865715)","(0.42502087354660034, 0.2654363214969635, 0.07721515744924545)","(0.40833890438079834, 0.30926910042762756, 0.06910108774900436)","(0.5279842615127563, 0.2204943299293518, 0.08933428674936295)","(0.47576984763145447, 0.2413642704486847, 0.10152049362659454)","(0.44932985305786133, 0.2735011577606201, 0.09852643311023712)","(0.43098920583724976, 0.3110252618789673, 0.09599025547504425)",Move
2501,"(0.5660731196403503, 0.4121277928352356, -3.888722517331189e-07)","(0.49329787492752075, 0.3956284523010254, -0.030132601037621498)","(0.4389621615409851, 0.33830228447914124, -0.02537202648818493)","(0.3949989080429077, 0.309378445148468, -0.009740857407450676)","(0.36619096994400024, 0.29887494444847107, 0.009713277220726013)","(0.487271249294281, 0.17347466945648193, -0.0015474898973479867)","(0.42169809341430664, 0.17614805698394775, 0.02721436694264412)","(0.39069223403930664, 0.2274913489818573, 0.0447627417743206)","(0.37279731035232544, 0.2690483331680298, 0.05557110905647278)","(0.5126346349716187, 0.17323072254657745, 0.02943536825478077)","(0.44345271587371826, 0.19461214542388916, 0.05906383693218231)","(0.41161930561065674, 0.2471718192100525, 0.06446961313486099)","(0.39337658882141113, 0.2973668873310089, 0.06416331976652145)","(0.5254056453704834, 0.19716471433639526, 0.060566991567611694)","(0.4586438536643982, 0.23015336692333221, 0.0838656798005104)","(0.4302593767642975, 0.2714681029319763, 0.07762616872787476)","(0.41506093740463257, 0.3149537444114685, 0.0696849375963211)","(0.5310242772102356, 0.22238147258758545, 0.09030705690383911)","(0.47963377833366394, 0.24443548917770386, 0.10229969769716263)","(0.4546498954296112, 0.27717381715774536, 0.09914286434650421)","(0.43767276406288147, 0.3142428398132324, 0.09654928743839264)",Move
2502,"(0.572792112827301, 0.4164206385612488, -4.0319628169527277e-07)","(0.4987397789955139, 0.39936867356300354, -0.03000514768064022)","(0.44436970353126526, 0.3424711227416992, -0.02468758076429367)","(0.4005000591278076, 0.3153876066207886, -0.008406944572925568)","(0.3692828118801117, 0.3085424602031708, 0.011746495962142944)","(0.4925827980041504, 0.17760545015335083, 0.0004505062534008175)","(0.42555534839630127, 0.1821780502796173, 0.028286900371313095)","(0.3937129080295563, 0.23526911437511444, 0.04433322697877884)","(0.37489959597587585, 0.2782144248485565, 0.054298680275678635)","(0.5177134275436401, 0.17921197414398193, 0.0318971611559391)","(0.4466629922389984, 0.20453529059886932, 0.06084783375263214)","(0.4143412113189697, 0.26011723279953003, 0.0645783469080925)","(0.39614349603652954, 0.3113590180873871, 0.06312476843595505)","(0.529994010925293, 0.2045513093471527, 0.0633840560913086)","(0.461394727230072, 0.24405322968959808, 0.08624238520860672)","(0.43226999044418335, 0.2885347306728363, 0.07843900471925735)","(0.4176509976387024, 0.33296704292297363, 0.06956401467323303)","(0.5353277325630188, 0.23049479722976685, 0.09355761855840683)","(0.4832228422164917, 0.25586894154548645, 0.1057315245270729)","(0.457609087228775, 0.290204256772995, 0.10200811922550201)","(0.44064202904701233, 0.32798027992248535, 0.09895042330026627)",Move
2503,"(0.5777419209480286, 0.42094290256500244, -4.0201214801527385e-07)","(0.5030783414840698, 0.4027084410190582, -0.030839165672659874)","(0.4499742090702057, 0.3451788127422333, -0.026290664449334145)","(0.407127320766449, 0.3181309700012207, -0.010968610644340515)","(0.3755163550376892, 0.31666940450668335, 0.0077965520322322845)","(0.49634408950805664, 0.18238385021686554, 0.0002480961848050356)","(0.42797619104385376, 0.18738484382629395, 0.026425043120980263)","(0.39611437916755676, 0.24329784512519836, 0.04114200547337532)","(0.3785531520843506, 0.2893657982349396, 0.05044126138091087)","(0.5215080380439758, 0.18337450921535492, 0.031420595943927765)","(0.44853726029396057, 0.20778661966323853, 0.05875135585665703)","(0.4145543873310089, 0.264731228351593, 0.06099268049001694)","(0.3949068486690521, 0.31940993666648865, 0.05864104628562927)","(0.5342632532119751, 0.20860742032527924, 0.06243413686752319)","(0.46528932452201843, 0.24497009813785553, 0.08413044363260269)","(0.4341539144515991, 0.28949734568595886, 0.0752391666173935)","(0.417626291513443, 0.336287260055542, 0.06566064804792404)","(0.539756715297699, 0.2348557412624359, 0.09209273010492325)","(0.4878736436367035, 0.2586028575897217, 0.1036180853843689)","(0.46195921301841736, 0.2917591631412506, 0.09924906492233276)","(0.4448516070842743, 0.3294244110584259, 0.09563707560300827)",Move
2504,"(0.5825167298316956, 0.4277663826942444, -3.9957885178409924e-07)","(0.5088918805122375, 0.40821248292922974, -0.031553708016872406)","(0.45612832903862, 0.3500402569770813, -0.02829650789499283)","(0.4120032787322998, 0.32179856300354004, -0.01458867359906435)","(0.3789638876914978, 0.3199860453605652, 0.0023938578087836504)","(0.5012211799621582, 0.1881813406944275, 0.0005380671937018633)","(0.43201738595962524, 0.19282273948192596, 0.0247163288295269)","(0.3998095393180847, 0.24895349144935608, 0.03756844252347946)","(0.38245654106140137, 0.29537534713745117, 0.045677319169044495)","(0.5252412557601929, 0.1888105273246765, 0.031133897602558136)","(0.4520476758480072, 0.2128153145313263, 0.056677836924791336)","(0.41810452938079834, 0.26947009563446045, 0.05785264074802399)","(0.398169606924057, 0.3243451416492462, 0.05488818138837814)","(0.537164568901062, 0.2136726677417755, 0.06122730299830437)","(0.46769481897354126, 0.25096017122268677, 0.08137526363134384)","(0.43719246983528137, 0.29531723260879517, 0.07201342284679413)","(0.4202883839607239, 0.3416516184806824, 0.06223952770233154)","(0.5425319075584412, 0.24007576704025269, 0.08983165770769119)","(0.4901576042175293, 0.26453644037246704, 0.10041960328817368)","(0.4646986722946167, 0.2982926070690155, 0.09587272256612778)","(0.447316437959671, 0.33618372678756714, 0.09214741736650467)",Move
2505,"(0.5884416103363037, 0.43384379148483276, -4.05761028332563e-07)","(0.5133705139160156, 0.4135785698890686, -0.03084847703576088)","(0.4598405063152313, 0.3530466854572296, -0.025499776005744934)","(0.4157670736312866, 0.3257620930671692, -0.009618221782147884)","(0.38329634070396423, 0.32448217272758484, 0.009632597677409649)","(0.5052564740180969, 0.19185392558574677, 0.00406013336032629)","(0.43603402376174927, 0.19723735749721527, 0.02942092902958393)","(0.4036155343055725, 0.25344038009643555, 0.04236752167344093)","(0.38580429553985596, 0.2990818917751312, 0.05061795189976692)","(0.5293092727661133, 0.19348102807998657, 0.03517318516969681)","(0.4559045135974884, 0.21888062357902527, 0.0625903531908989)","(0.4213259816169739, 0.2747670114040375, 0.06413062661886215)","(0.4004460871219635, 0.3292410969734192, 0.06147843971848488)","(0.5411103367805481, 0.21904951333999634, 0.06561419367790222)","(0.4717961251735687, 0.257754921913147, 0.0873112827539444)","(0.44062402844429016, 0.3006990849971771, 0.07803380489349365)","(0.4229496419429779, 0.34500280022621155, 0.06835946440696716)","(0.5461166501045227, 0.24518263339996338, 0.09453899413347244)","(0.49369481205940247, 0.27147483825683594, 0.1060623750090599)","(0.4681265652179718, 0.3045895993709564, 0.10156093537807465)","(0.45062255859375, 0.3412089943885803, 0.09801261872053146)",Move
2506,"(0.5922090411186218, 0.4383326768875122, -4.2432876057318936e-07)","(0.5167973041534424, 0.4183904230594635, -0.03025462105870247)","(0.46238818764686584, 0.35794633626937866, -0.023895923048257828)","(0.41826626658439636, 0.3305121958255768, -0.006970165763050318)","(0.38659653067588806, 0.3307221233844757, 0.013398190960288048)","(0.5091422200202942, 0.1964198350906372, 0.005240617319941521)","(0.43989044427871704, 0.2027554214000702, 0.030814828351140022)","(0.4070501923561096, 0.25954392552375793, 0.04357082396745682)","(0.3886417746543884, 0.3051578104496002, 0.05157855153083801)","(0.5327131152153015, 0.19856798648834229, 0.03644247353076935)","(0.4590991139411926, 0.22509834170341492, 0.06385215371847153)","(0.42495763301849365, 0.28188928961753845, 0.06510328501462936)","(0.4044305980205536, 0.33565306663513184, 0.06218627467751503)","(0.5442236661911011, 0.22430580854415894, 0.06696798652410507)","(0.4745749533176422, 0.2642127275466919, 0.08881374448537827)","(0.4443933069705963, 0.3079474866390228, 0.07902895659208298)","(0.42786288261413574, 0.35161593556404114, 0.0688885748386383)","(0.5489882230758667, 0.24984824657440186, 0.09601245820522308)","(0.49629494547843933, 0.27792567014694214, 0.10751054435968399)","(0.4712626338005066, 0.3125154376029968, 0.10239799320697784)","(0.4546820819377899, 0.3489108979701996, 0.09827491641044617)",Move
2507,"(0.5963747501373291, 0.44250333309173584, -4.147676406773826e-07)","(0.5215981602668762, 0.4246348440647125, -0.031718142330646515)","(0.46750378608703613, 0.3648691773414612, -0.02679000422358513)","(0.42286112904548645, 0.3352150619029999, -0.011144648306071758)","(0.3905750513076782, 0.3330002725124359, 0.00781318824738264)","(0.5128804445266724, 0.20105406641960144, 0.003599698655307293)","(0.4424408972263336, 0.20876607298851013, 0.028550824150443077)","(0.4090622365474701, 0.26661407947540283, 0.04048597067594528)","(0.39018553495407104, 0.3134995996952057, 0.04803594946861267)","(0.5365604162216187, 0.2034999132156372, 0.03529394045472145)","(0.4625253975391388, 0.23075208067893982, 0.06215892359614372)","(0.42729926109313965, 0.28840357065200806, 0.062348876148462296)","(0.4060324430465698, 0.34486737847328186, 0.058710742741823196)","(0.5479739308357239, 0.2295655608177185, 0.06637068837881088)","(0.478177011013031, 0.26931601762771606, 0.08818778395652771)","(0.44732001423835754, 0.31351616978645325, 0.07807598263025284)","(0.43009084463119507, 0.35906916856765747, 0.06772458553314209)","(0.5526582598686218, 0.2558770775794983, 0.0958939790725708)","(0.49979835748672485, 0.28309398889541626, 0.108262799680233)","(0.4747720956802368, 0.3172754645347595, 0.10390190780162811)","(0.4580107629299164, 0.3548777103424072, 0.10023819655179977)",Move
2508,"(0.5987347364425659, 0.44789183139801025, -4.274051264019363e-07)","(0.5247853994369507, 0.43197372555732727, -0.032973870635032654)","(0.46971383690834045, 0.3706749677658081, -0.03032882884144783)","(0.424754798412323, 0.3384541869163513, -0.017093921080231667)","(0.39117372035980225, 0.331612229347229, -0.0007843935745768249)","(0.5174840092658997, 0.2065049409866333, -0.00126383185852319)","(0.44672104716300964, 0.21215568482875824, 0.020572926849126816)","(0.412150114774704, 0.26772889494895935, 0.030971229076385498)","(0.39180105924606323, 0.31297042965888977, 0.03759550303220749)","(0.5411620736122131, 0.20814502239227295, 0.029566211625933647)","(0.46667617559432983, 0.2398260533809662, 0.05300680547952652)","(0.43233785033226013, 0.29833200573921204, 0.0523018017411232)","(0.4122762680053711, 0.354256808757782, 0.04825282841920853)","(0.5523427128791809, 0.23342908918857574, 0.05979270488023758)","(0.4810221195220947, 0.2799660265445709, 0.07878289371728897)","(0.4510566294193268, 0.3258121609687805, 0.06886152178049088)","(0.4339199662208557, 0.3724866807460785, 0.05891023576259613)","(0.5572198033332825, 0.2606092691421509, 0.08838798105716705)","(0.5029800534248352, 0.29184821248054504, 0.09921620041131973)","(0.47752317786216736, 0.32796937227249146, 0.0953146442770958)","(0.46003690361976624, 0.36778876185417175, 0.0921475812792778)",Move
